location,size,total_sqft,bath,price
Magadi Road,2.0,1000.0,2.0,46.5
Gottigere,1.0,1806.0,1.0,150.0
5th Phase JP Nagar,2.0,1075.0,2.0,60.0
Koramangala,4.0,2700.0,4.0,450.0
B Narayanapura,2.0,1313.0,2.0,58.27
Rajaji Nagar,7.0,12000.0,6.0,2200.0
Malleshpalya,3.0,1785.0,3.0,75.0
Subhash Nagar,4.0,1200.0,4.0,110.0
Kasturi Nagar,2.0,1000.0,2.0,58.0
Hennur,3.0,1150.0,3.0,80.0
Hennur Road,2.0,1297.0,2.0,49.9
Kengeri Satellite Town,4.0,936.0,2.0,60.84
Electronic City,2.0,1070.0,2.0,47.0
Begur Road,3.0,1410.0,2.0,52.17
Gulakamale,2.0,1200.0,2.0,50.0
"Hoodi Circle, ",2.0,1234.0,2.0,61.0
Rachenahalli,3.0,2721.0,3.0,113.0
Begur Road,3.0,680.0,4.0,68.0
Wilson Garden,1.0,735.0,1.0,75.0
Kodigehalli,3.0,1820.0,3.0,150.0
Bidadi,2.0,1600.0,2.0,110.0
5th Phase JP Nagar,2.0,1450.0,2.0,58.0
Ramamurthy Nagar,2.0,1150.0,2.0,51.0
Yelahanka,1.0,697.0,1.0,45.0
Yelahanka,2.0,1065.0,2.0,41.38
Channasandra,2.0,1030.0,2.0,34.5
Sidedahalli,9.0,1200.0,7.0,95.0
Electronics City Phase 1,2.0,940.0,2.0,44.0
Raja Rajeshwari Nagar,8.0,4800.0,8.0,225.0
Hoodi,3.0,1746.0,3.0,84.95
Banashankari,3.0,1900.0,2.0,170.0
Margondanahalli,2.0,1200.0,1.0,53.0
Yelahanka,1.0,26136.0,1.0,150.0
Chandapura,2.0,778.0,2.0,25.29
Old Madras Road,2.0,1211.0,2.0,45.0
Talaghattapura,2.0,1040.0,2.0,33.28
Sahakara Nagar,3.0,1370.0,2.0,90.0
Subramanyapura,3.0,1278.0,3.0,70.0
Marathahalli,2.0,1220.0,2.0,56.5
Thanisandra,3.0,1430.0,2.0,51.6
Cambridge  road,3.0,1000.0,2.0,110.0
Kattigenahalli,2.0,1200.0,1.0,70.0
Sarjapur  Road,3.0,2180.0,4.0,180.0
Hebbal Kempapura,3.0,1725.0,2.0,165.0
AMS Layout,3.0,1200.0,4.0,80.0
Sonnenahalli,1.0,605.0,1.0,40.0
Haralur Road,3.0,1464.0,3.0,56.0
Kadabagere,2.0,675.0,1.0,15.0
Hennur,4.0,3517.0,,161.5
Kaggadasapura,3.0,1280.0,2.0,56.0
Sarjapur,2.0,1175.0,2.0,42.0
frazertown,3.0,2000.0,3.0,210.0
1st Block Jayanagar,4.0,2850.0,4.0,428.0
Yelahanka,3.0,1614.0,3.0,93.0
Kundalahalli,3.0,1724.0,3.0,125.0
Doddakannelli,3.0,780.0,3.0,75.0
Bannerghatta Road,3.0,1460.0,2.0,80.0
Ramamurthy Nagar,2.0,935.0,2.0,39.0
Haralur Road,3.0,1817.0,3.0,110.0
Yelahanka,3.0,1517.0,3.0,76.3
Electronic City,4.0,2000.0,4.0,120.0
Hennur Road,3.0,1482.0,2.0,97.0
Munnekollal,2.0,1170.0,2.0,52.0
Sarjapur  Road,3.0,1157.0,2.0,69.0
JP Nagar,3.0,3496.5,,237.5
Hormavu,4.0,2282.0,4.0,115.0
Sarjapur  Road,4.0,4000.0,5.0,600.0
Yelahanka,1.0,602.0,1.0,26.0
Gottigere,1.0,812.0,1.0,26.0
Marathahalli,1.0,615.0,1.0,44.0
Chikkalasandra,3.0,1230.0,2.0,53.51
Ejipura,2.0,922.0,2.0,70.0
Chelekare,1.0,600.0,1.0,60.0
Chandapura,1.0,645.0,1.0,16.45
Somasundara Palya,3.0,1575.0,3.0,68.0
Somasundara Palya,2.0,1185.0,2.0,75.0
Bannerghatta Road,3.0,1625.0,2.0,75.0
Kaggadasapura,3.0,1500.0,2.0,75.0
Sathya Sai Layout,4.0,6688.0,6.0,700.0
Kanakpura Road,2.0,1220.0,2.0,60.0
Koramangala,4.0,2461.0,6.0,353.0
Hulimavu,2.0,1100.0,2.0,71.5
Horamavu Banaswadi,2.0,1025.0,2.0,45.0
Electronics City Phase 1,2.0,1085.0,2.0,46.0
Kaval Byrasandra,3.0,1400.0,3.0,75.0
Rajiv Gandhi Nagar,2.0,1219.0,2.0,40.0
Madiwala,4.0,910.0,4.0,140.0
Murugeshpalya,2.0,1296.0,2.0,81.0
KUDLU MAIN ROAD,3.0,1464.0,3.0,56.0
Panathur,2.0,1193.0,2.0,86.0
Old Town,8.0,750.0,8.0,200.0
VHBCS Layout,2.0,1353.0,2.0,110.0
Pattandur Agrahara,2.0,900.0,2.0,42.0
Rajaji Nagar,2.0,1763.0,3.0,240.0
9th Block Jayanagar,6.0,1200.0,5.0,280.0
Kasavanhalli,2.0,1495.0,2.0,83.0
Bisuvanahalli,2.0,845.0,2.0,29.0
Neeladri Nagar,1.0,674.0,1.0,21.0
Bhoganhalli,3.0,1760.0,3.0,128.0
Jakkur,2.0,1473.0,2.0,85.0
JP Nagar,2.0,1200.0,2.0,78.0
Chikkabanavar,4.0,2460.0,7.0,80.0
Green View Layout,2.0,1150.0,2.0,42.0
Sarjapur  Road,4.0,2750.0,5.0,240.0
Electronic City,3.0,1470.0,2.0,44.1
4th Block Koramangala,9.0,4500.0,9.0,500.0
BEL Layout,2.0,1375.0,2.0,105.0
Subramanyapura,2.0,1050.0,2.0,41.0
Yelahanka,2.0,1140.0,2.0,50.66
Nagarbhavi,3.0,1850.0,2.0,88.0
Malleshwaram,3.0,2345.0,,293.0
Old Airport Road,2.0,946.0,2.0,58.0
Vinayaka Nagar,2.0,1340.0,2.0,65.0
Jakkur,3.0,1819.18,3.0,160.0
Nehru Nagar,2.0,961.0,2.0,38.0
Bellandur,1.0,950.0,1.0,40.0
Narayanapura,3.0,2357.0,3.0,135.0
Weavers Colony,1.0,812.0,1.0,26.0
Somasundara Palya,3.0,2300.0,2.0,70.0
Nelamangala,2.0,820.0,2.0,30.0
7th Phase JP Nagar,3.0,1680.0,3.0,122.0
Bannerghatta Road,3.0,1465.0,2.0,76.0
Sanjay nagar,2.0,630.0,1.0,35.0
Whitefield,3.0,3480.0,4.0,284.0
Vittasandra,3.0,1650.0,3.0,85.0
Devara Jeevanahalli,4.0,400.0,2.0,35.0
Whitefield,4.0,4500.0,4.0,330.0
Lakkasandra,9.0,4500.0,9.0,166.0
Ambedkar Nagar,3.0,1935.0,4.0,130.0
Kanakpura Road,2.0,1296.0,2.0,89.0
Kasturi Nagar,4.0,784.0,2.0,165.0
Sarjapur,3.0,1200.0,3.0,78.0
Rachenahalli,2.0,1050.0,2.0,52.07
Raja Rajeshwari Nagar,3.0,1530.0,3.0,64.86
6th Phase JP Nagar,3.0,1515.0,2.0,135.0
Doddanakunte,5.0,2700.0,5.0,150.0
TC Palaya,3.0,1200.0,3.0,66.0
Jigani,3.0,1221.0,3.0,70.0
RMV 2nd Stage,2.0,1200.0,2.0,216.0
Sathya Sai Layout,4.0,6652.0,6.0,510.0
Harlur,3.0,3425.0,3.0,320.0
Electronic City,2.0,1165.0,2.0,33.64
Yeshwanthpur,2.0,1144.0,2.0,67.0
Sarjapur  Road,2.0,1280.0,2.0,76.0
Basaveshwara Nagar,2.0,1200.0,2.0,70.0
Cooke Town,3.0,2300.0,3.0,250.0
Singena Agrahara,3.0,1500.0,3.0,149.0
KEB Colony,2.0,1040.0,2.0,36.84
Uttarahalli,2.0,1134.0,2.0,45.36
Uttarahalli,2.0,1200.0,2.0,44.0
Kasthuri Nagar East Of NGEF,6.0,2400.0,7.0,460.0
Bannerghatta Road,4.0,3000.0,4.0,140.0
Kaikondrahalli,4.0,1700.0,4.0,108.0
Sarjapur  Road,3.0,1380.0,2.0,52.0
Belathur,2.0,1081.0,2.0,39.0
Bhagyalakshmi Avenue,2.0,955.0,1.0,34.01
Kasavanhalli,3.0,1476.0,3.0,105.0
Varthur Road,2.0,1140.0,2.0,49.11
Hormavu,2.0,1129.0,2.0,44.0
8th Phase JP Nagar,5.0,1730.0,5.0,75.0
Srinivasa Nagar,3.0,1200.0,2.0,75.6
Whitefield,2.0,1170.0,2.0,71.0
Bhoganhalli,2.0,1447.0,2.0,75.97
Hebbal,8.0,6000.0,8.0,220.0
Panathur,2.0,1210.0,2.0,85.0
Old Madras Road,4.0,2600.0,4.0,260.0
Balagere,1.0,645.0,1.0,55.0
Billekahalli,2.0,950.0,2.0,58.11
Williams Town,3.0,1500.0,2.0,98.0
Thigalarapalya,4.0,3122.0,6.0,235.0
Yelahanka,4.0,2675.0,4.0,140.0
Kaggadasapura,3.0,1250.0,2.0,47.0
Akshaya Nagar,3.0,1551.0,2.0,60.0
Kengeri,1.0,416.0,1.0,17.19
Hosahalli Extension,3.0,2000.0,3.0,120.0
Mallasandra,2.0,1340.0,2.0,61.0
Sarjapur  Road,2.0,1155.0,2.0,58.0
Kasavanhalli,2.0,1100.0,2.0,68.0
Silk Board,2.0,1020.0,2.0,48.0
Electronic City,4.0,1200.0,4.0,125.0
Kothanur,3.0,1454.0,3.0,71.5
Hebbal,3.0,3520.0,3.0,430.0
Indira Nagar,2.0,1260.0,2.0,100.0
Ganesha Block,3.0,1810.0,3.0,118.0
Yelahanka,3.0,1890.0,4.0,85.0
Subramanyapura,3.0,1800.0,3.0,80.0
Srinivasa Nagar,4.0,1500.0,4.0,180.0
JP Nagar,3.0,1850.0,3.0,150.0
Ulsoor,4.0,3500.0,4.0,138.0
8th Phase JP Nagar,2.0,1062.0,2.0,42.47
Seetharampalya,3.0,1360.0,2.0,73.0
Sarjapur  Road,3.0,1826.0,3.0,125.0
Sarjapur  Road,2.0,1150.0,2.0,36.8
BCC Layout,4.0,1500.0,5.0,230.0
Akshaya Vana,3.0,1260.0,2.0,49.0
Kengeri Satellite Town,2.0,1072.0,2.0,25.0
B Narayanapura,3.0,1405.0,2.0,70.0
Kodihalli,3.0,2500.0,4.0,260.0
Bisuvanahalli,3.0,1075.0,2.0,35.0
Sarjapur  Road,2.0,1112.0,2.0,58.0
Kanakpura Road,3.0,1530.0,,70.99
Bendiganahalli,3.0,1200.0,3.0,95.0
NGR Layout,2.0,1020.0,2.0,45.0
Marathahalli,4.0,2396.0,4.0,325.0
Jagajyothi layout,2.0,1250.0,2.0,58.0
Varthur Road,2.0,1277.0,2.0,59.0
Amblipura,4.0,2950.0,4.0,250.0
Rajiv Gandhi Nagar,2.0,1293.0,2.0,80.0
Kanakpura Road,2.0,1204.0,2.0,82.0
Hosur Road,3.0,1590.0,2.0,125.0
Hegde Nagar,3.0,2112.95,4.0,145.0
Indira Nagar,3.0,1700.0,3.0,150.0
Venugopal Reddy Layout,3.0,1545.0,3.0,85.0
Narayanappa Layout,5.0,950.0,5.0,90.0
NRI Layout,3.0,1731.0,3.0,64.11
Chandapura,3.0,1190.0,2.0,30.35
Haralur Road,3.0,1810.0,3.0,100.0
Kanakpura Road,3.0,1703.0,3.0,130.0
Jigani,2.0,937.0,2.0,44.0
BTM 2nd Stage,2.0,1000.0,2.0,58.0
Subramanyanagar,8.0,1320.0,6.0,200.0
Ramanjaneyanagar,2.0,1040.0,2.0,36.4
Sarjapur  Road,2.0,1311.0,2.0,78.0
Gollarapalya Hosahalli,2.0,861.0,2.0,34.5
Vidyaranyapura,2.0,1100.0,2.0,41.0
Harlur,3.0,1749.0,3.0,120.0
Sarjapura - Attibele Road,3.0,1676.0,3.0,52.0
Marathahalli,2.0,1050.0,2.0,65.0
Sarakki Nagar,3.0,2663.0,4.0,338.0
TC Palaya,2.0,1100.0,2.0,65.0
Hoodi,2.0,1026.0,2.0,60.87
BEML Layout,2.0,999.0,2.0,45.0
Jakkur,2.0,1050.0,2.0,49.87
Mysore Road,3.0,1410.0,2.0,64.0
Thanisandra,3.0,1241.0,2.0,61.0
KR Puram,3.0,1452.0,3.0,60.0
Whitefield,2.0,1315.0,2.0,69.5
Chandapura,2.0,800.0,1.0,20.0
Green Glen Layout,3.0,1715.0,3.0,112.0
Marathahalli,2.0,957.0,2.0,46.9
Ardendale,3.0,2500.0,3.0,250.0
Talaghattapura,2.0,1100.0,2.0,49.49
Sathya Sai Layout,4.0,6652.0,6.0,660.0
Raja Rajeshwari Nagar,2.0,1255.0,2.0,42.54
Bannerghatta Road,2.0,1200.0,2.0,75.0
B Channasandra,2.0,1300.0,2.0,79.0
Talaghattapura,3.0,1800.0,3.0,84.0
Gunjur,3.0,1600.0,3.0,75.0
Bisuvanahalli,3.0,1075.0,2.0,43.0
Jakkur,3.0,1950.0,3.0,131.0
Sarjapur  Road,3.0,1457.0,3.0,85.0
Yelachenahalli,3.0,1700.0,3.0,130.0
Whitefield,4.0,2403.0,4.0,270.0
Yeshwanthpur,2.0,1164.0,2.0,64.08
Bannerghatta Road,3.0,1476.0,3.0,125.0
BEML Layout,3.0,2000.0,3.0,85.0
Margondanahalli,4.0,1360.0,2.0,45.0
Yelahanka,2.0,1076.0,2.0,78.0
Electronic City Phase II,2.0,900.0,2.0,32.5
Brooke Bond First Cross,2.0,1252.0,2.0,55.0
2nd Stage Nagarbhavi,4.0,1200.0,4.0,225.0
Akshaya Nagar,3.0,1690.0,3.0,85.0
Kaverappa Layout,2.0,1265.0,2.0,70.0
Budigere,1.0,764.0,1.0,32.0
Bharathi Nagar,2.0,1349.0,2.0,56.7
Kyalasanahalli,3.0,1200.0,3.0,99.0
Sompura,3.0,1275.0,3.0,59.0
Pai Layout,6.0,3800.0,6.0,175.0
Kamakya Layout,4.0,2400.0,3.0,108.0
Bharathi Nagar,2.0,1432.0,2.0,68.0
Kaval Byrasandra,2.0,1060.0,2.0,42.0
Sarjapur,3.0,2690.0,3.0,295.0
Banashankari Stage V,2.0,920.0,2.0,41.5
T K Reddy Layout,3.0,1616.0,3.0,75.0
2nd Phase JP Nagar,2.0,1040.0,2.0,78.0
7th Phase JP Nagar,3.0,1850.0,3.0,150.0
Bellandur,2.0,1150.0,2.0,69.44
Yeshwanthpur,3.0,1383.0,2.0,76.18
Haralur Road,3.0,1810.0,3.0,112.0
Kumara Park,3.0,2000.0,3.0,207.0
Kanakapura,2.0,1160.0,2.0,46.39
Whitefield,3.0,1500.0,3.0,71.0
Muthurayya Swamy Layout,3.0,2405.0,4.0,260.0
Sarjapur  Road,2.0,984.0,2.0,45.91
Coconut Grove Layout,2.0,1156.0,2.0,46.0
Sarjapur  Road,2.0,1290.0,2.0,88.0
1 Immadihalli,11.0,6000.0,12.0,150.0
Bannerghatta Road,4.0,1380.0,3.0,58.0
Whitefield,4.0,4348.5,,304.0
7th Phase JP Nagar,3.0,1400.0,2.0,57.0
Electronics City Phase 1,1.0,360.0,1.0,16.9
Sathya Sai Layout,4.0,4104.0,4.0,360.0
Chandapura,1.0,645.0,1.0,16.45
Kaggadasapura,2.0,1118.0,2.0,30.0
Devanahalli,3.0,1282.0,2.0,52.43
Hennur Road,3.0,1976.0,3.0,65.21
Prithvi Layout,2.0,1352.0,2.0,85.0
Old Madras Road,3.0,2990.0,5.0,210.0
Thyagaraja Nagar,7.0,3000.0,6.0,180.0
Gollahalli,2.0,1170.0,2.0,45.51
8th Phase JP Nagar,2.0,909.0,2.0,40.9
Chinnapanahalli,2.0,1020.0,2.0,40.0
Kalyan nagar,2.0,1190.0,2.0,60.0
Jigani,2.0,939.0,2.0,39.0
Abbigere,2.0,995.0,2.0,40.8
Chikka Tirupathi,5.0,3356.0,5.0,105.0
Agrahara Dasarahalli,1.0,800.0,1.0,72.0
Kodichikkanahalli,2.0,900.0,2.0,35.0
Bethel Nagar,3.0,1092.0,3.0,95.0
Begur Road,3.0,1410.0,2.0,53.58
Suragajakkanahalli,3.0,1200.0,3.0,72.0
Rachenahalli,3.0,1756.0,3.0,110.0
Raja Rajeshwari Nagar,2.0,1267.0,2.0,42.85
Doddabanahalli,2.0,800.0,2.0,30.0
Byatarayanapura,1.0,1300.0,1.0,200.0
Gnana Bharathi,6.0,3600.0,6.0,170.0
Vignana Nagar,4.0,1050.0,4.0,90.0
Vijayanagar,3.0,1527.0,3.0,115.0
Kenchenhalli,4.0,1350.0,4.0,90.0
Rachenahalli,2.0,985.0,2.0,50.17
Kumara Park,2.0,1200.0,2.0,75.0
Padmanabhanagar,4.0,3000.0,4.0,350.0
Udayapur Village,3.0,1440.0,2.0,63.93
Magadi Road,2.0,1116.0,2.0,51.89
Vijayanagar,2.0,989.0,2.0,60.0
Kalena Agrahara,3.0,1837.0,2.0,95.0
Hegde Nagar,3.0,1835.0,3.0,89.0
B K Nagar,6.0,2400.0,5.0,300.0
Kanakpura Road,2.0,700.0,2.0,35.0
Daadys Gaarden Layout,3.0,1600.0,3.0,72.0
HMT Layout,3.0,1385.0,3.0,90.0
Kashi Nagar,4.0,1600.0,4.0,80.0
7th Phase JP Nagar,2.0,1370.0,2.0,56.17
Thanisandra,3.0,1996.0,4.0,123.0
Electronic City Phase II,3.0,1400.0,2.0,40.45
Kalyan nagar,2.0,820.0,2.0,39.0
1st Block HBR Layout,1.0,600.0,1.0,45.0
Gubbalala,5.0,2570.0,4.0,141.0
Kudlu,2.0,1076.0,2.0,50.0
Thanisandra,3.0,1965.0,4.0,125.0
Jalahalli East,3.0,1300.0,2.0,63.0
Thigalarapalya,4.0,3122.0,5.0,225.0
Kanakpura Road,3.0,1223.0,2.0,42.81
Hennur,2.0,1100.0,2.0,60.0
1st Block BEL Layout,4.0,1800.0,5.0,250.0
Hosakerehalli,4.0,3205.0,4.0,300.0
Kudlu,2.0,1027.0,2.0,44.0
Marathahalli,3.0,1305.0,2.0,69.0
Banashankari,3.0,1426.0,3.0,85.0
Yelahanka,3.0,2145.0,3.0,125.0
Channasandra,2.0,1115.0,2.0,40.0
Benson Town,2.0,1567.0,3.0,140.0
Judicial Layout,4.0,1500.0,3.0,162.0
Brookefield,2.0,1139.0,2.0,80.0
Kengeri,1.0,416.0,1.0,19.5
Chelekare,2.0,1250.0,2.0,62.4
Chandapura,3.0,1305.0,3.0,33.28
Ambedkar Nagar,3.0,2395.0,4.0,150.0
Yelahanka,3.0,1614.0,3.0,95.0
Begur Road,4.0,2462.0,4.0,124.0
Madavara,2.0,1000.0,2.0,35.0
Ramamurthy Nagar,2.0,700.0,2.0,33.0
CV Raman Nagar,3.0,1480.0,3.0,65.0
Akshaya Nagar,2.0,1100.0,2.0,48.0
Vidyaranyapura,2.0,1200.0,2.0,60.5
Doddagubbi,2.0,1250.0,2.0,39.0
Hulimavu,2.0,935.0,2.0,45.0
Sarjapur  Road,2.0,984.0,2.0,45.91
Thanisandra,3.0,1694.0,3.0,125.0
Sarjapur  Road,3.0,2100.0,3.0,130.0
Banashankari,2.0,1310.0,2.0,80.43
Hoodi,2.0,1425.0,2.0,80.0
Electronic City,2.0,770.0,1.0,36.0
Hormavu,2.0,980.0,2.0,42.0
Byrasandra,3.0,1390.0,2.0,50.0
Kaggadasapura,2.0,1000.0,2.0,43.0
Kasavanhalli,3.0,1260.0,2.0,40.32
Electronics City Phase 1,1.0,635.0,1.0,26.0
Bharathi Nagar,2.0,1300.0,2.0,55.86
Koramangala,2.0,1900.0,2.0,200.0
Kaggalipura,2.0,950.0,2.0,45.0
3rd Block HBR Layout,3.0,2000.0,3.0,100.0
Kadabagere,2.0,565.0,2.0,15.0
Old Madras Road,3.0,1425.0,2.0,94.0
Whitefield,2.0,1355.0,2.0,73.0
Abbigere,2.0,985.0,2.0,38.92
Ambedkar Colony,2.0,1468.0,3.0,130.0
EPIP Zone,2.0,1343.0,2.0,86.0
Jalahalli West,2.0,745.0,2.0,36.0
Sarjapur  Road,2.0,1130.0,2.0,55.0
7th Phase JP Nagar,3.0,1680.0,3.0,125.0
Bhoganhalli,4.0,2171.0,4.0,111.0
Varthur,2.0,1738.0,2.0,57.35
Binny Pete,3.0,1970.0,3.0,164.0
Electronics City Phase 1,2.0,995.0,2.0,42.0
Belathur,2.0,1050.0,2.0,38.0
Old Madras Road,4.0,3900.0,4.0,175.0
Nagasandra,4.0,1310.0,3.0,95.0
Rajaji Nagar,6.0,3000.0,6.0,250.0
8th Phase JP Nagar,1.0,500.0,1.0,31.0
Yelenahalli,2.0,1240.0,2.0,47.12
Volagerekallahalli,2.0,1095.0,2.0,39.0
Bannerghatta Road,3.0,1920.0,3.0,122.0
3rd Block Banashankari,4.0,1700.0,2.0,550.0
Hebbal,3.0,1430.0,3.0,85.0
Benson Town,3.0,2850.0,4.0,470.0
CV Raman Nagar,2.0,1020.0,2.0,55.0
Sector 7 HSR Layout,2.0,1163.0,2.0,98.86
Gokula Extension,3.0,1400.0,3.0,90.0
Kanakapura,3.0,1290.0,2.0,38.69
Thanisandra,2.0,1245.0,2.0,83.05
Kada Agrahara,2.0,935.0,2.0,35.0
Sarjapur  Road,4.0,5400.0,4.0,725.0
Singasandra,2.0,1416.0,2.0,67.0
Bannerghatta Road,3.0,1527.0,3.0,142.0
Koramangala,3.0,1900.0,3.0,150.0
Bellandur,3.0,1830.0,3.0,91.86
Whitefield,3.0,2134.0,4.0,118.0
Kasavanhalli,3.0,2111.0,4.0,120.0
Gunjur,3.0,2132.0,3.0,80.0
Marathahalli,3.0,1108.0,2.0,60.0
Hoodi,2.0,1108.0,2.0,74.23
Whitefield,2.0,1063.0,2.0,42.52
Channasandra,2.0,3040.0,2.0,48.0
TC Palaya,6.0,1000.0,6.0,69.0
Whitefield,2.0,1130.0,2.0,42.16
KR Puram,2.0,1200.0,2.0,72.0
Hosur Road,2.0,1656.0,2.0,120.0
Mysore Road,3.0,1568.0,2.0,100.0
Jakkur,2.0,1290.0,2.0,80.0
Uttarahalli,3.0,1385.0,2.0,48.48
9th Phase JP Nagar,7.0,1200.0,6.0,195.0
Nelamangala,4.0,2600.0,3.0,95.0
Hennur Road,2.0,1460.0,2.0,80.3
Whitefield,2.0,1280.0,2.0,69.0
Vittasandra,2.0,1404.0,2.0,75.0
Thanisandra,2.0,1220.0,2.0,42.0
Kasavanhalli,3.0,1915.0,3.0,80.0
HRBR Layout,3.0,1200.0,3.0,240.0
3rd Block Jayanagar,3.0,2150.0,3.0,240.0
Doddanakundi Industrial Area 2,2.0,1194.0,2.0,51.0
Gkvk Layout,3.0,1350.0,3.0,195.0
Somasundara Palya,3.0,1275.0,2.0,52.0
Electronic City,3.0,1563.0,3.0,91.84
EPIP Zone,3.0,2350.0,4.0,163.0
7th Phase JP Nagar,3.0,1650.0,3.0,110.0
Ramamurthy Nagar,3.0,1410.0,2.0,56.4
Kaggadasapura,3.0,1540.0,3.0,75.0
KR Puram,2.0,1100.0,2.0,39.9
Raja Rajeshwari Nagara,3.0,1537.0,3.0,81.0
Malleshpalya,2.0,1060.0,2.0,40.0
Pai Layout,2.0,1175.0,2.0,60.0
Hormavu,4.0,3500.0,4.0,289.0
Koramangala,2.0,1320.0,2.0,160.0
Ambedkar Nagar,3.0,1950.0,4.0,120.0
Hulimavu,2.0,850.0,1.0,39.5
Dollars Colony,4.0,4350.0,8.0,2600.0
Indira Nagar,3.0,1650.0,3.0,200.0
Kodichikkanahalli,5.0,2700.0,7.0,125.0
Dodsworth Layout,2.0,1340.0,2.0,71.0
Old Airport Road,4.0,2658.0,5.0,189.0
Marsur,3.0,1200.0,3.0,90.0
Garudachar Palya,2.0,1060.0,2.0,48.66
Babusapalaya,2.0,1061.0,2.0,38.95
Marathahalli,3.0,1710.0,3.0,135.0
Mylasandra,2.0,1110.0,2.0,41.0
Kannamangala,3.0,1574.0,3.0,93.34
manyata,2.0,1169.0,2.0,50.11
Sahakara Nagar,3.0,1200.0,2.0,75.0
Nagarbhavi,3.0,1200.0,3.0,225.0
Raja Rajeshwari Nagar,9.0,3125.0,9.0,350.0
Dasanapura,2.0,1163.0,2.0,65.0
HSR Layout,3.0,1600.0,2.0,115.0
Electronic City,2.0,1020.0,2.0,29.45
Whitefield,3.0,1200.0,3.0,67.77
Outer Ring Road East,3.0,3664.0,3.0,325.0
Hebbal,3.0,1900.0,3.0,119.0
Tumkur Road,3.0,1441.0,2.0,95.0
Hennur Road,2.0,987.0,2.0,49.0
Ardendale,4.0,3198.0,4.0,200.0
Mallasandra,3.0,1665.0,3.0,86.91
Sector 2 HSR Layout,2.0,1146.0,2.0,55.0
Basavangudi,2.0,1100.0,2.0,93.0
Old Madras Road,3.0,1350.0,3.0,47.25
Budigere,2.0,1153.0,2.0,56.7
Kanakpura Road,3.0,1592.0,3.0,125.0
Shirdi Sai Layout,4.0,1200.0,3.0,95.0
A Narayanapura,1.0,600.0,2.0,35.0
Yelahanka,2.0,1322.0,2.0,75.0
Whitefield,3.0,1485.0,3.0,65.0
Kaikondrahalli,2.0,1300.0,2.0,61.0
Whitefield,1.0,905.0,1.0,50.0
JP Nagar,3.0,3860.0,3.0,402.0
Basavangudi,6.0,1214.0,3.0,220.0
Electronic City,2.0,1070.0,2.0,60.0
"ECC Road, Whitefield, ",3.0,1575.0,3.0,93.0
Thippasandra,4.0,1200.0,4.0,200.0
Hennur,2.0,1225.0,2.0,57.0
Whitefield,2.0,1125.0,2.0,45.0
Yarandahalli,2.0,1015.0,2.0,40.1
5th Phase JP Nagar,2.0,1200.0,2.0,68.0
Silk Board,3.0,1250.0,3.0,54.0
Haralur Road,2.0,1000.0,2.0,78.0
Hebbal,3.0,1645.0,3.0,113.0
Ramagondanahalli,2.0,1151.0,2.0,48.77
Haralur Road,2.0,1240.0,2.0,70.0
Banashankari Stage II,2.0,1245.0,2.0,125.0
Kannamangala,2.0,957.0,2.0,56.0
Chandra Layout,3.0,700.0,3.0,195.0
Jalahalli,3.0,1870.0,3.0,110.0
Madiwala,1.0,400.0,1.0,75.0
Bhuvaneswari Nagar,4.0,2400.0,3.0,185.0
Basaveshwara Nagar,5.0,2520.0,4.0,378.0
Marathahalli,2.0,1125.0,2.0,56.8
Nagarbhavi,2.0,1145.0,2.0,40.0
Dasarahalli,3.0,1520.0,2.0,75.0
Outer Ring Road East,3.0,1500.0,2.0,97.0
Kaikondrahalli,3.0,1605.0,3.0,105.0
Naganathapura,2.0,2260.0,3.0,80.0
Singapura Village,2.0,970.0,2.0,45.0
Thanisandra,1.0,760.0,1.0,50.0
Hebbal,3.0,1255.0,3.0,77.68
Electronic City,2.0,919.0,2.0,34.0
Thanisandra,2.0,1185.0,2.0,42.0
Stage-4 Bommanahalli,3.0,2300.0,2.0,69.0
Devanahalli,3.0,1200.0,3.0,145.0
R.T. Nagar,6.0,1500.0,6.0,240.0
Haralur Road,2.0,1194.0,2.0,47.0
Hebbal,3.0,1355.0,3.0,83.87
Brooke Bond First Cross,3.0,1721.0,3.0,93.0
Devi Nagar,3.0,2000.0,3.0,105.0
Yeshwanthpur,1.0,400.0,1.0,55.0
Banashankari,3.0,1350.0,2.0,83.0
Whitefield,2.0,1140.0,2.0,50.0
Kambipura,2.0,883.0,2.0,39.0
Kamakshipalya,4.0,800.0,4.0,80.0
Horamavu Agara,3.0,1623.0,3.0,89.0
Marathahalli,2.0,1270.0,2.0,80.0
HBR Layout,3.0,1700.0,3.0,110.0
Ankappa Layout,3.0,1425.0,2.0,65.0
Ramamurthy Nagar,1.0,540.0,1.0,35.0
Basavanna Nagar,3.0,1645.0,3.0,95.0
Talaghattapura,2.0,951.0,2.0,30.43
Jigani,2.0,918.0,2.0,48.0
Whitefield,4.0,2990.0,3.0,198.0
Nandi Durga Road,2.0,2015.0,4.0,325.0
Babusapalaya,2.0,1245.0,2.0,58.0
Chikkabanavar,3.0,1320.0,2.0,46.0
Virupakshapura,2.0,1075.0,2.0,55.0
Marathahalli,4.0,4000.0,4.0,200.0
Sadaramangala,2.0,1260.0,2.0,62.0
Anekal,3.0,1150.0,3.0,45.0
HOSUR MAIN ROAD,3.0,1393.0,3.0,54.0
Old Madras Road,2.0,1165.0,2.0,52.0
